sample_id,width,thickness,length
groupB_test_28,5.35,3.2399999999999998,23.810000000000002
groupB_test_14,5.35,3.28,24.6
groupB_test_15,5.57,3.72,24.400000000000002
groupB_test_29,5.2700000000000005,3.23,23.86
groupB_test_17,5.34,3.28,23.040000000000003
groupB_test_16,5.49,3.54,24.81
groupB_test_12,5.56,3.33,26.0
groupB_test_13,5.32,3.6,25.0
groupB_test_11,5.819999999999999,3.4,25.05
groupB_test_39,5.6,3.3400000000000003,26.0
groupB_test_38,5.6,3.3600000000000003,24.72
groupB_test_10,5.62,3.29,22.49
groupA_test_10,6.0,4.5,50.0
groupB_test_48,5.64,3.09,28.26
groupB_test_60,5.4,3.3,24.389999999999997
groupA_test_13,6.0,4.4,50.0
groupB_test_3,5.49,3.3600000000000003,25.65
groupB_test_2,4.78,3.3,25.4
groupA_test_12,6.0,4.5,50.0
groupB_test_61,5.4,3.35,24.78
groupB_test_49,5.6,3.11,24520.0
groupB_test_59,5.49,3.29,27.34
groupA_test_16,6.0,4.1,50.0
groupB_test_6,5.55,3.4099999999999997,27.27
groupA_test_9,6.0,4.4,50.0
groupB_test_7,5.61,3.16,27.529999999999998
groupA_test_17,6.0,4.4,50.0
groupB_test_58,5.35,3.3400000000000003,26.75
groupB_test_5,5.39,3.27,26.0
groupB_test_4,5.39,3.29,25.0
groupA_test_14,5.9,4.5,50.0
groupB_test_56,5.51,3.3,22.47
groupB_test_42,5.42,3.31,22.87
groupA_test_25,5.9,4.3,50.0
groupA_test_19,6.0,4.5,50.0
groupB_test_9,5.62,3.29,22.49
groupA_test_7,6.0,4.5,50.0
groupA_test_6,6.0,4.5,50.0
groupB_test_8,5.529,3.19,22.13
groupA_test_18,6.4,4.5,50.0
groupB_test_43,5.6,3.15,25.54
groupB_test_57,5.47,3.2,24.0
groupB_test_41,5.4,3.23,23.060000000000002
groupB_test_55,5.31,3.3,24.36
groupA_test_26,5.9,4.4,50.0
groupA_test_4,5.9,4.5,50.0
groupA_test_5,6.0,4.4,50.0
groupB_test_54,5.6,3.3800000000000003,24.36
groupB_test_40,5.71,3.3800000000000003,25.12
groupB_test_44,5.43,3.3800000000000003,26.05
groupB_test_50,5.6,3.11,24.52
groupA_test_23,6.0,4.4,50.0
groupA_test_22,6.0,4.6,50.0
groupB_test_51,5.6,3.11,24.52
groupB_test_45,5.4799999999999995,3.3600000000000003,23.93
groupB_test_53,5.75,3.3899999999999997,25.36
groupB_test_47,5.41,3.29,28.93
groupA_test_20,6.0,4.6,50.0
groupA_test_2,6.0,4.5,50.0
groupA_test_3,6.1,4.6,50.0
groupB_test_46,5.34,2.9499999999999997,22.39
groupB_test_52,5.51,3.3400000000000003,24.729999999999997
groupB_test_35,5.33,3.19,24.0
groupB_test_21,5.31,3.23,28.830000000000002
groupB_test_20,5.6499999999999995,3.3,25.0
groupB_test_34,5.43,3.3600000000000003,23.900000000000002
groupB_test_22,5.35,3.23,28.13
groupB_test_36,5.35,3.27,24.729999999999997
groupB_test_37,5.1000000000000005,3.7100000000000004,24.89
groupB_test_23,5.39,3.4,21.94
groupB_test_27,5.41,3.13,22.59
groupB_test_33,5.45,3.22,23.279999999999998
groupB_test_32,5.34,3.2399999999999998,27.57
groupB_test_26,5.32,3.2399999999999998,23.8
groupB_test_30,5.26,3.22,23.25
groupB_test_24,5.6,3.35,22.24
groupB_test_18,5.590000000000001,3.37,23.619999999999997
groupB_test_19,5.6499999999999995,3.3,25.0
groupB_test_25,5.33,3.25,25.22
groupB_test_31,5.33,3.22,27.560000000000002
